keys,ja
KEY_VIEW_ITEM_12_DIE1,"[center][b]『[I_DAY____] 1000』 기념 메뉴![/b][/center]\n[br][i]현역 C랭크 파티의 리더이기도 한[br]일류 요리사가 [b]기간 한정 메뉴[/b]를 공개![br]길드 설립일부터 [b]약 1000일간 숙성시킨 와인[/b]과[br]점장의 정성이 듬뿍 담긴 [b]특별 메뉴[/b]가[br]당신의 혀를 기다리고 있다![/i][br]\n점장의 코멘트:[br]이 요리는 제가 친구와 모험했을 때[br]실제 던전에서 만들었던 메뉴입니다.[br]\n전사로서 싸우는 그의 몸과 마음의 상처를 조금이라도 치유해 주고 싶은 바람으로 이 요리가 태어났습니다.[br]그 친구도 지하로 소환되어 결국 저만 남게 되었습니다만…….[br]\n이 특별 메뉴에는 그와 둘이서 보낸[br]190일간의 추억이 담겨 있습니다.[br]부디 맛있게 즐겨주세요!"
KEY_VIEW_ITEM_11_1001,"2명의 모험가가 단상에 오른다.[br][C_IS]오늘 바쁘신 와중에 인터뷰에 응해주셔서[br]감사합니다.[/C][br][C_IR]………….[/C][br][C_IS]……파, 파티 이름인 [b]『듀얼 러브』[/b],[br]참 좋은 이름이네요! 두 분은 연인 사이신가요?[/C][br][C_IR]아니…… [C_R]우리는 남매[/C]다.[/C]"
KEY_VIEW_ITEM_11_1002,"[br][C_IS]엣!? ……아, 남매셨군요![br]그러니까, 아름다운 남매애를 뜻하는 거였네요![/C][br][C_IR]그게 아니다…… 이 파티명은 다른 남녀가[br]지은 것이다. 우리 둘은 [C_R]나중에 들어온[/C]거다.[/C][br][C_IS]예? ……하지만 지금은 두 분뿐이잖아요?[/C]"
KEY_VIEW_ITEM_11_1003,"[br]\n[C_IR]……원래 녀석들은 연인 사이였다더군.[br]어떤 [I_PARTYS_] 인터뷰를 읽은 녀석들은,[br][C_R]「성직자가 없어도 약초만 있으면 B랭크가 될 수 있다」[/C]라고 확대 해석해서 자기들끼리 파티를 결성했지.[/C][br][C_IS]……아─.[/C][br][C_IR]당연히 약초만 가지고 던전에 들어가는 건[br]가혹했겠지. 약초 맛도 최악이었을 테고.[br]그래서 뒤늦게 성직자를 구하기로 했다더군.[/C]"
KEY_VIEW_ITEM_11_1004,"[br][C_IS]그랬겠네요…… 그래서 두 분을 찾아낸 거군요.[/C][br][C_IR]그렇다. 하지만 나는 소중한 여동생을 생판 남남인 남녀에게 맡기는 게 걱정된다고 전했고, 나도 그 파티에 [C_R]동시 가입[/C]하게 된 거다.[/C][br][C_IS]그렇군요…… 반대는 없었나요?[/C]"
KEY_VIEW_ITEM_11_1005,"[br]\n[C_IR]오히려 찬성하더군.[br]그게 밸런스가 더 좋아진다면서. 하지만…….[/C][br][C_IS]하지만?[/C][br][C_IR]여자는 틈만 나면 나한테 접근해 오는 데다……[br]남자놈은 내가 자리를 비웠을 때 내 여동생을[br]덮치려 했다는 사실이 드러났지.[br]……여동생 쪽이 더 강했다는 게 다행이었어.[/C]"
KEY_VIEW_ITEM_11_1006,"[br][C_IS]……아이고야.[/C][br][C_IR][C_R]같은 직업[/C]이라고는 생각하기도 싫은 만행을 알고서, 내 손으로 죽여버리고 싶었지만……[br]지들끼리 싸우다가 제풀에 죽어버렸다.[br]그래서 이 파티의 리더는 나인 거다.[/C][br]\n[C_IR]……그런데 길드에 상담할 게 있는데…….[/C]"
KEY_VIEW_ITEM_11_1007,"[br][C_IS]무엇인가요?[/C][br][C_IR][b][C_R]파티 이름을 바꾸고 새로 시작할[/C][/b] 방법을 알려줘.[/C][br][C_IS]…….[/C][br][C_IR]가능하겠지?[/C]"
KEY_VIEW_ITEM_11_1008,"[br][C_IS]심정은 이해합니다만, 규칙이라서요…….[/C][br][C_IR]……그렇군.[/C][br][C_IS]…….[/C][br][C_IR]이 길드의 센스는 쓰레기군.[br]더는 대답할 일도, 던전에 들어갈 일도 없을 거다.[/C]"
KEY_VIEW_ITEM_11_1009,"[br][C_IS]아니…… 오늘은 감사했습니다.[br]다만 마지막으로 한 가지만 궁금한 게 있어요.[/C][br][C_IR]……말해봐.[/C][br][C_IS]참고 삼아 여쭙는데, 파티 이름을 바꿀 수 있다면[br]어떤 명칭으로 바꿀 생각이었나요?[/C][br][C_IR][b][C_P]『사랑스러운 [N_RARE___]』[/C][/b].[/C]"
KEY_VIEW_ITEM_11_100A,"[br][C_IS]예?[/C][br][C_IR][b][C_P]『사랑스러운 [N_RARE___]』[/C][/b]다.[/C][br][C_IS]오늘 방문해주셔서 감사합니다.[br]그럼, 좋은 여행 되시길![/C][br][C_IR]……역시 이 길드의 센스는 쓰레기군.[/C]"
KEY_VIEW_ITEM_17_1001,"1명의 모험가가 단상에 오른다. [br][C_IS]오늘 인터뷰에 응해 주셔서 [br]감사합니…… 어라? 혼자 오셨나요?[/C][br][C_IR][b]『시종』들[/b]은 안 와.『일』하느라 바쁘거든. [/C][br][C_IS]하아…… 저기,「시종」이 뭐죠?[/C][br][C_IR][C_R]내가 거둬들인 꼬맹이들[/C] 말이야. [br]나도 옛날에 어른들한테 그렇게 불렸거든. [br]그래서 똑같이 불러 주는 거야. 뭐 어때?[/C]"
KEY_VIEW_ITEM_17_1002,"[br][C_IS]!? ……잠깐만요, [br][b]『일』[/b]이라니……!? 게다가 설마 그 아이들을[br]억지로 싸우게 하는 건 아니겠죠!!?[/C][br][C_IR]오, 잘 물어봤다![br]내 파티는[b][C_R]『좀비』[/C][/b]가 [I_CONCEPT]이거든!![/C][br][C_IS]조, 좀비라니, 그게 무슨……?[/C]"
KEY_VIEW_ITEM_17_1003,"[br]\n[C_IR]그래! 몇 번이고 다시 일어나는 그 좀비 말이야![br][C_R]치명상을 입어도 곧바로 치료만 하면[br]얼마든지 계속 싸울 수 있잖아[/C]?『시종』들을 좀[br]빡세게 굴리고, 나는 편하게 먹고살겠다는 작전이지![/C][br][C_IS]………… 이 자식, 제정신인가……?[/C][br][C_IR]『시종』들은 끝내준다고? 의심할 줄을 몰라. [br]내 생각대로 아주 찰떡같이 속아 넘어가 주거든! 무엇보다──[br][b]『밤』에도 아침까지 상대할 수 있다고.[/b][/C]"
KEY_VIEW_ITEM_17_1004,"[br][C_IS]네?[/C][br][C_IR]그 [C_R]3명[/C]도 실력이 꽤 늘었지만, 나한테 걸리면 전부[br]순식간에 [I_WAKARAS]당해 버린단 말씀. 난 최강이니까 말이야.[br]뭐, 그 녀석들만으론 금방 지치니까, 셋 말고도[br]방으로 불러서 아침까지 듬뿍 즐겨준단 거지. [br]히히…… 그때 그 분해하던 얼굴들을 생각하면, [br]웃음이 멈추질 않는다니까……!!![/C][br][C_IS]…………. [/C]"
KEY_VIEW_ITEM_17_1005,"[br]\n[C_IR]…… 엉? 왜 그래? 너도 같이 한판 뛸래?[br]오늘 밤이든 언제든 상대해 줄 수 있다고?[/C][br][C_IS]장난치지 마세요![/C][br][C_IR]뭐야, 처음이냐? 참 진지하시네……. [br]안심하라고. 우리 파티는 그런 녀석들한테도[br]친절하니까 말이야. 아주 실컷 놀게 해 줄게……!![/C]"
KEY_VIEW_ITEM_17_1006,"[br][C_IS]………………. [br]아무리 우리 길드 소속 모험가라 해도, [br]이런 저열한 행위는 결코 묵과할 수 없습니다!![br]극히 악질적이며──[/C][br][C_IR]뭐라고!!? 이 새끼가──[br][font_size=24][C_R][b]지금『[I_CARD___]』를 비하하는 거냐!?[/b][/C][/font_size][/C][br][C_IS]…………………………………………. [/C]"
KEY_VIEW_ITEM_17_1007,"[br][C_IS]…… 네?[/C][br][C_IR]『[I_CARD___]』말이야. 당연히 이름은 알 거 아냐?[/C][br][C_IS]에…… 아니요? 도대체 무슨 얘기예요???[/C]"
KEY_VIEW_ITEM_17_1008,"[br]\n[C_IR][C_R]『[I_DAY____] 500』기념 그 카드[/C] 말이야! 내 필살기──[br][b]【살아 있는 전설 [N_PAKIRA_]】[/b]가 특집으로 나왔던 그거!![br]그 이후로 도통 [I_NEWS___]에도 안 나오던데, [br]다음 팩은 대체 언제 나오는 거냐고, 어?[/C][br][C_IS]…… 혹시 전부 [I_GAME___] 이야기인가요?[/C][br][C_IR]그거 말고 뭐가 더 있어? 나는 말이야……[br]『시종』들이 웃을 수만 있다면 뭐든 한다고. [br]직접 보라고, [b]길드에 등록했을 때 그 녀석들 표정[/b]을……!!![/C]"
KEY_VIEW_ITEM_17_1009,"[br][C_IS]아, 그, 정말 죄송합니다……. [br]그럼『일』이라는 것도 가사 같은 건가요?[/C][br][C_IR]애 보기야. 카드 한 장씩으로 퉁 쳤거든. [br]이 시간에는[C_R]『[N_UZU____]』[/C]녀석이 늑대 돌보느라[br]방에 없어서 내가 대신 봐주고 있는 거야. [br][C_IS]──!?[/C]"
KEY_VIEW_ITEM_17_100A,"[br]\n[C_IR]젠장, 빨리 안 돌아가면 두 장씩 내놓으라고 난리 칠 텐데……![/C][br][C_IS]…… 어째서……. [/C][br][C_IR]아, [N_UZU____]라는 녀석은──[/C][br][C_IS]알고 있어요![br]근데 왜 그가 [N_RANTHUS] 씨네 집에……!?[/C]"
KEY_VIEW_ITEM_17_100B,"[br]\n[C_IR]진정하라고. 내 방에 누구를 몇 명을 재우든[br]내 맘 아냐…… 어라? 내 맘 맞지……?[/C][br][C_IS]그건 상관없습니다만. 그게…… 그분, [C_R][b]그 사건[/b][/C] 이후로 길드에 얼굴을 비추지 않아서 다들 걱정하고 있었거든요……!![/C][br][C_IR]사건이라…… 100일도 더 된 [I_NEWS___] 말이지?[br][C_R]솔로로 뛰던 우리 리더 얼굴 사진[/C]이[br]대문짝만하게 실렸던 거. …… 걱정도 팔자라니까. [/C]"
KEY_VIEW_ITEM_17_100C,"[br][C_IS]하지만……![/C][br][C_IR]네 생각보다 [N_UZU____]는 훨씬 야무진 녀석이야. [br]맨날 빈둥거리기만 하던 그『검 덕후』녀석이[br]제시간에 일어날 수 있게 된 건 전부 우즈 덕분이라고 해도 과언이 아니지. [br]밤에「잠이 안 온다」며 떼쓰는 우리 집『시종』들도 좀 교육해 줬으면 좋겠는데 말이야. [/C][br][C_IS]에에……? 드, 듣고 싶지 않은 정보였는데……. [/C]"
KEY_VIEW_ITEM_17_100D,"[br]\n[C_IR]암튼 그 녀석 걱정은 붙들어 매라고. [br]길드 녀석들은 멘탈 하나는 끝내주거든. [br]…… 그 장발 자식도 갑자기 머리를 숙이더니[br][C_R]「마지막까지 그녀와 함께 싸워줘서 고맙다」[/C][br]라고 하질 않나. [br]난 죽을 각오로 보고하러 갔었는데 말이야……[br]뭐,『시종』하나를 데려갔나 싶었더니[br]바로 [C_R]파티에 꽂아 넣은[/C] 건 좀 이해가 안 가지만. [br]진짜 뭐 하는 놈인지 모르겠어, 걔는. [/C][br][C_IS]하하하………… 어라?[/C]"
KEY_VIEW_ITEM_17_100E,"[br]\n[C_IR]게다가 그 녀석도 엄청 활약 중이야. [br]우리『시종』들도 마력 하나는 대단해서[br]시끌벅적 난리라니까……!![br]뭐, 난 얕은 물가에서 찰방거리며[br]즐기면 그만이지만 말이야! [/C][br][C_IS]저기요, 혹시 당신 그 사건 때의……![/C][br][C_IR]앗, 젠장! 벌써 시간이 이렇게 됐네! [br]나 간다! 나중에 보자고!![/C]"
KEY_VIEW_ITEM_17_100F,"[br][C_IS]아, 잠깐만요……![/C][br][C_IR]기다려라,『시종』들아! [br]그 『[N_RARE___] 카드』만큼은 절대로[br]안 뺏긴다아아아아아아아아아아아아아아!!![/C][br][C_IS]………………. [/C][br][C_IS]그럼…… 좋은 여행 되시길![/C]"
KEY_VIEW_ITEM_15_1001,"2명의 모험가가 단상에 오른다.[br][C_IS]오늘 인터뷰에 응해 주셔서 감사합니다.[/C][br][C_IR]이쪽이야말로. 진심으로 감사한다.[/C][br][C_IS]곧바로 질문드겠습니다만, 이 파티는 두 분이서만[br]던전에 들어가시는 건가요?[/C][br][C_IR]그렇다. 사람이 늘어난다고 능사는 아니지.[br]『[I_DAY____] 680』의 [I_NEWS___]를 보았겠지?[/C]"
KEY_VIEW_ITEM_15_1002,"[br][C_IS]…….[/C][br][C_IR][C_R]지난번 [I_PARTYS_][/C]에서 이미 사건은 예측 가능했다.[br]어째서 귀공은 그 자리에 있었으면서 막지 않았나?[/C][br][C_IS]죄송합니다…….[/C][br][C_IR]내가 듣고 싶었던 것은 사죄가 아니라──[/C][br][b]「누나!!!」[/b]라고 뒷좌석의 소년이 소리를 높인다."
KEY_VIEW_ITEM_15_1003,"[br]\n[C_IR]………… 흠. 미안하군. 몰아세울 생각은[br]없었다…… 주제넘은 참견이었어.[/C][br][C_IS]아닙니다…… …… 두 분은 남매끼리 파티를[br]결성하신 거군요.[/C][br][C_IR][b]내가 그렇게 부르게 했을 뿐[/b]이다.[/C]"
KEY_VIEW_ITEM_15_1004,"[br][C_IS]죄송합니다, 다시 한번 말씀해 주시겠어요?[/C][br][C_IR]실례. 그가 멋대로 나를 그렇게 부르고 있을 뿐이다.[br]어쨌든 우리는 둘이서가 딱 적당해.[br]결성 전, [C_R]옛 친구에게 제안을 받기도[/C] 했지만[br]나는 그와 둘이서 여행하기로 결정했기에 거절했다.[/C][br][C_IS]음? 왠지 어디서 들어본 것 같은데……?[/C]"
KEY_VIEW_ITEM_15_1005,"[br]\n[C_IR]질문은 이상인가?[/C][br][C_IS]아, 아닙니다! 에─ 그러니까…………[br]…… 저, 정말 좋은 검이네요![/C][br][C_IR]호오? 이 검의 가치를 알아보다니……[br]제법 안목이 있군.[br]귀공의 직업은 『도적』인가?[/C]"
KEY_VIEW_ITEM_15_1006,"[br][C_IS]………… 아하하…….[/C][br][C_IR]나는 태생적으로 다양한 교육을 받았기에[br]기본적으로 무엇이든 할 수 있다만──[br]특히 검술에 능하다. 이 검을 휘두르고 있으면[br]내가 나 자신으로 있을 수 있는 기분이 들지…….[/C][br][C_IS]아─ 그렇군요. 그래서…… 납득했습니다.[/C]"
KEY_VIEW_ITEM_15_1007,"[br]\n[C_IR]…… 아니,「무엇이든」은 과장했군.[br]적어도 뒤에 있는 저 아이에게 당해낼 수 없는 게 하나 있다.[/C][br][C_IS]『치유 마법』이죠?[/C][br][C_IR]!? …… 놀랍군. 귀공의 지식과 통찰력은[br]보통이 아니야. 하지만 이제야 앞뒤가 맞는군.[br]진짜 직업은── 『현자』가 아닌가?[/C]"
KEY_VIEW_ITEM_15_1008,"[br][C_IS]둘 다 아닙니다만…… 기분은 좋네요.[/C][br][C_IR]음, 그런가……. 어쨌든[br]치유 마법만큼은 스스로 터득할 수 없더군.[br]이것만큼은 적성이 따로 있는 모양이야.[br]그런 점에서 그의 치유 마법은 대단하다네.[br]치유받는 동안 몸이[C_R]『오싹오싹』[/C]하거든.[/C][br][C_IS]『오싹오싹』, 인가요?[/C]"
KEY_VIEW_ITEM_15_1009,"[br]\n[C_IR]그렇다. 큰 부상으로 팔이 움직이지 않게 되었을 때도 금방 회복되었지. 피부 탄력도 좋아진 기분이다.[br]역시 [N_UZU____]는 내게 없어서는 안 될 소중한 동료지.[/C][br]\n뒤에 있는 소년이 얼굴을 붉힌다.[br][C_IS]감사합니다.[br]…… 마지막으로 질문 하나만 더 드려도 될까요?[/C][br][C_IR]질문이 많군. 무엇이지?[/C]"
KEY_VIEW_ITEM_15_100A,"[br][C_IS]이 마을에서는 미성년자 상대라면 합의가 있어도[br]범죄가 된다는 사실을 알고 계신가요?[/C][br][C_IR][b]하? 대체 뭐가 말인가? 그저 치유 마법일 뿐인데? 소년과 여행하는 것 따위 요즘 세상에 흔한 일 아닌가? 실제로 B랭크의 모 파티에 내 옛 친구인 여전사가 있는데, 그곳은 도적 소년뿐만 아니라 요리사 소녀도 데리고 다니는 모양이더군.[br]「고고함」이란 이름뿐인 그 B랭크 파티에서[br]두 명이나 소년 소녀를 데리고 다닌다면,[br]C랭크 파티인 내가 소년 한 명과 여행하는 것쯤은[br]당연히 허용되어야 한다고 생각하는 게 지극히 자연스러운 발상아닌가?? 애초에──[/b][/C]"
KEY_VIEW_ITEM_15_100B,"[br][C_IS]저, 저기! 알겠으니까 진정하세요!![br]제가 잘못했습니다! 질문도 끝이에요! 끝![/C][br][C_IR]정말이지, 말조심하게나. 애당초 정말로[br]손을 대는 무뢰배가 있다면 내가………… 음?[/C][br][C_IS]이, 이번엔 또 왜 그러세요?[/C][br][C_IR]…… 아니………… 옛 친구 이야기를 하니 생각났는데, 요전에 또 그 녀석이 불러서 말이야.[/C]"
KEY_VIEW_ITEM_15_100C,"[br][C_IS]하, 하아…….[/C][br][C_IR]끈질긴 권유에 진심으로 질렸다만,[br]이번에는 진지한 눈빛을 하고 있더군. …… 후훗,[br]다시 『평소의 4명』이 모일 날이 올 줄이야……![/C][br]\n기분 탓인지, 뒤에 있는 소년이 불안한 표정을 짓는다.[br]\n[C_IR]아직 자세한 건 말할 수 없지만,[br]조만간 [I_NEWS___]에 실릴지도 모르겠군.[br]좋은 뉴스를 기대해 주게나.[/C]"
KEY_VIEW_ITEM_15_100D,"[br][C_IS]잘은 모르겠지만……[br]좋은 뉴스는 언제나 환영입니다! 그럼[br]오늘 감사했습니다! 좋은 여행 되시길![/C][br][C_IR]음. 좋은 여행 되길.[/C]"
KEY_VIEW_ITEM_09_1001,"1명의 모험가가 단상에 오른다.[br][C_IS]…….[/C][br][C_IR]……………….[/C][br]\n[C_IR]……어이, 분위기가 왜 이렇게 칙칙해![br]모처럼 여기까지 와 줬는데 말이야.[/C][C_IS]…………죄송합니다. 오늘 인터뷰에[br]응해 주셔서 감사합니다.[br]곧바로 질문드겠습니다만── 『도적단』, 이신가요…….[/C]"
KEY_VIEW_ITEM_09_1002,"[br]\n[C_IR]그래! 나는 세계에서 가장 유명한[br]대도적단을 이끄는 리더! 사람들은 나를──[br][b]캡틴────── [N_DAISY__]라고 부르지!!![/b][/C][br][C_IS]……서류에는[b]『[N_MUGI___] 도적단』[/b]이라고 적혀 있는데요.[/C][br][C_IR]아아─ 그건 [N_MUGI___] 그 녀석이 죽어도[br]리더가 하고 싶다길래, 마음씨 착한 내가[br]양보해 준 거야── 그런 거라고. 게다가[br][C_R]우리 중에서『도적』은 그 녀석뿐[/C]이거든. [/C]"
KEY_VIEW_ITEM_09_1003,"[br][C_IS]엣? 그럼 진짜 직업은……?[/C][br][C_IR]몰랐냐?[b][C_R]『사냥꾼』[/C][/b]이지. [/C][br][C_IS]……!!?『사냥꾼』!? 정말인가요!?[/C][br][C_IR]뭐, 뭐야, 갑자기 태도를 싹 바꿔서는……. [/C]"
KEY_VIEW_ITEM_09_1004,"[br][C_IS]죄, 죄송합니다. 사실 [b]저도『사냥꾼』[/b]이거든요![/C][br][C_IR]진짜냐!? 야아──── 이런 곳에서[br]같은 직업을 가진 녀석을 만날 줄은 몰랐는데![br]무기는 뭐 쓰냐?[/C][br][C_IS]저는 왕도인 활과 화살을 씁니다! 화살값 대기가 좀 빡세긴 하지만, 가장 손에 잘 익더라고요. [N_DAISY__] 님은요?[/C]"
KEY_VIEW_ITEM_09_1005,"[br]\n[C_IR]나는『새총』! 그 근처에 굴러다니는 돌멩이 따위로는 전혀 무기가 안 되지만, 이렇게 미리[br]나만의 특제 조제를 거치면──[br][b](여기서부터는 기록자가 무슨 말을 하는지[br]이해하지 못해 생략함)[/b] ──라는 말씀이지![/C][br][C_IS]과연, 향신료인가요…… 공부가 되네요![br]역시 던전을 계속 공략하는 파티의[br]리더는 지식과 경험의 양부터 다르시군요……![/C]"
KEY_VIEW_ITEM_09_1006,"[br]\n[C_IR]응? ……아, 아아! 그렇고말고! 던전[br]대선배한테 뭐든 물어보라고![/C][br][C_IS]저기, 그럼 곧바로 질문드릴게요. 파티의[br]만남 같은 걸 들어볼 수 있을까요? 애초에[br]왜 도적단 [b]따위[/b]에 들어가 계신 건가요?[/C][br][C_IR]그게 무슨 뜻이지?[/C]"
KEY_VIEW_ITEM_09_1007,"[br][C_IS]앗, 아니 그게……[/C][br][C_IR]『도적단 따위』라니…… 우리를 두고[br]말하는 거냐? 오해야! 지금은 도적이라고 해도[br]남의 물건은 안 훔친다고, 그 녀석은──[/C][br][C_IS]데, [N_DAISY__] 님 이야기를 하는 게 아니에요![br]다만 『도적』이라니, 다들 최악인 녀석들뿐이잖아요![br]당장 며칠 전 [b]『[N_MATISSE] 도적단』[/b]만 해도,[br]죄 없는 아이의 목숨을 앗아가는 쓰레기들이었고……!![/C]"
KEY_VIEW_ITEM_09_1008,"[br][C_IS]분명 당신도 [N_MUGI___]라는 녀석에게──[/C][br][C_IR][b]웃기지 마!!!![/b][/C][br][C_IS]히익……!?[/C][br][C_IR][N_MUGI___]를── 우리를 그런 쓰레기 같은 놈이랑[br]똑같이 취급하지 마!!! …… 그 자식은[br]도적단의 리더로서── 아니, [b]사람으로서[br]해서는 안 될 선을 넘어버린 개자식이라고!![/b][/C]"
KEY_VIEW_ITEM_09_1009,"[br][C_IS]하, 하지만……!![/C][br][C_IR][b]그놈이 한 짓은 다 들었다고!![/b][br]던전에 갓 입문한 파티에[C_R]「도적이 필요하다」[/C]고 조언해서 자기 동료 중 하나를 그 파티에 잠입시켰지!![/C][br]\n[C_IR]그리고 상대가 저항할 수단이 없다는 걸 알자마자[br]던전에 버려두고──[C_R]『사망신고서』[/C]를 제출해서 파티를 가로챘잖아!![/C]"
KEY_VIEW_ITEM_09_100A,"[br][C_IS]으…… 그, 그 사건은 정말로……[/C][br][C_IR]그것뿐만이 아니야!! 현장 확인을 위해서라고[br]길드를 속이고는, 그놈은 [C_R]자기 파티와 빼앗은 멤버를 데리고[/C]……!!![/C][br][C_IS]……? 분명 그런 내용을 길드에[br]전달했다고는 들었습니다만…… 아이템 같은 건[br]파티를 가로챈 시점에 이미 다 빼앗겼을 텐데──[/C]"
KEY_VIEW_ITEM_09_100B,"[br]\n[C_IR]그 할아범이 한 얘기 못 들었냐!?[br][C_R]「손녀딸이 도적단과 함께 마물화되어 있었다」[/C]고……[br]즉, [C_R][b]그때까지 살아있었다[/b][/C]는 거 아니냐고!!![/C][br][C_IS]아…….[/C][br][C_IR]도적 중에도 별의별 녀석들이 있겠지만……[br]적어도 [b][N_MUGI___]는 그런 녀석이 아니야!![/b][br]…… [N_MATISSE] 같은 쓰레기 놈이랑[br]우리의 긍지 높은 도적단을 [b]함께 논하지 마라!!!!![/b][/C]"
KEY_VIEW_ITEM_09_100C,"[br][C_IS]죄, 죄송합…… 죄송합니다……!!![/C][br][C_IR]……… 아…… 미, 미안! 나도 모르게 욱해서[br]겁을 줬구먼! …… 하지만 말이야, 다른 도적들한테도 그런 태도를 보이는 건 그만두는 게 좋아.[/C][br][C_IS]옳으신 말씀입니다…… 드릴 말씀이 없네요.[/C][br][C_IR]됐어, 됐어! 나도 미안했다니까! [br]그래서 우리 만남 이야기였지![/C]"
KEY_VIEW_ITEM_09_100D,"[br][C_IS]…….[/C][br][C_IR]우리 만남이라…… 나랑 [N_MUGI___]는[br]각자 다른 팀을 가지고 있었는데,[br]어느 날 내 팀이 해산되면서[br]그 녀석들이랑 같이 여행하게 됐지.[/C][br]\n[C_IR]그러다 던전에 보물이 있다는 소리를 들어서,[br][C_R]우리 3명이 길드에 등록하고[b]『[N_MUGI___] 도적단』[/b]을 만든 거다![/C][/C]"
KEY_VIEW_ITEM_09_100E,"[br]\n[C_IR]누가 봐도 내가 리더에 어울렸지만,[br][N_MUGI___] 그 녀석이 제바아아아아알 자기가 먼저[br]해보겠다고 떼를 쓰길래 내가 양보해 준 거야![/C][br]\n[C_IR]그러다 한동안 셋이서 모험을 했었는데,[br]최근 잘나가는 파티에는『요리사』가 있다는[br]소문을 들은 [N_MUGI___] 녀석이[br][C_R]「좋아, 결정했어!!『지하의 요리사』를 찾자!!!」[/C][br]라고 외치더니『요리사』를 동료로 맞이했지![/C]"
KEY_VIEW_ITEM_09_100F,"[br]\n[C_IR]그리고 나서── ……, ……………………. [/C][br]\n[C_IR]……………………. [/C][br][C_IS]「그리고 나서」, 어떻게 됐나요?[/C]"
KEY_VIEW_ITEM_09_100G,"[br]\n[C_IR]………… 뭐, 이런저런 일이 있어서 그 녀석 대신[br]이 몸이 리더가 됐다는 말씀이지![/C][br][C_IS]하아…… 과연? …… 그러고 보니[br]다른 세 분은 어떻게 되셨나요?[/C][br][C_IR]음─…… 지금은 좀, 셋 다 방에서……[br]쉬고 있어. AAA 랭크급 던전 공략의 피로가[br]몰려온 모양이더라고. 한심하기 짝이 없지~.[/C]"
KEY_VIEW_ITEM_09_100H,"[br][C_IS]골치 아픈 [I_C_MEMB_]들이군요…… 어라?[br]그런데 우리 길드에서 리더는[br][C_R][b]리더가 죽기 전까지는 변경할 수 없었던[/b][/C] 것 같은데……?[/C][br][C_IR]……………………………………………….[/C]"
KEY_VIEW_ITEM_09_100I,"[br][C_IS]저기──[/C][br][C_IR]사실은 말이야, 다 죽었어.[/C][br][C_IS]…… 네, 네!? [/C][br][C_IR]헤헤…… 그, 뭐라 그래야 하나…………[br]…… 우리 도적단은…… (훌쩍), [br]이제 나 혼자뿐이야…….[/C]"
KEY_VIEW_ITEM_09_100J,"[br][C_IS]그건──[/C][br][C_IR][b][C_R]── 젠장, 다 죽어버렸다고!!![/C][/b] 나 때문에……[br][b][C_R]전부 나 같은 놈을 도망치게 하려다가[/C][/b]……!![/C][br][C_IS]──……[/C]"
KEY_VIEW_ITEM_09_100K,"[br]\n[C_IR]도망치는 것 하나는 자신 있었으니까,[br]서둘러 길드로 돌아왔지!![br]그 녀석들이라면 분명히 버텨줄 거라고[br]믿었으니까……!! 하지만 금방 무기를 챙겨서 돌아가 보니 이미……!!![br]…… 그때 나한테 맞설 용기만 있었더라면……!![/C][br][C_IS]………… 윽…… 우웁, 욱……!![/C][br][C_IR]제기랄…… ──!? 어, 어이, 괜찮냐!?[/C]"
KEY_VIEW_ITEM_09_100L,"[br][C_IS]죄, 죄송합니다…… 죄송합니다. 아무것도,[br]아무것도 아니에요. 제가, 제가 나쁜 놈이에요…….[/C][br][C_IR]…… 정말 괜찮은 거냐?[/C][br][C_IS]네…… 감사합니다…….[br]…… [N_DAISY__] 님은 이제 어떻게 하실 건가요?[br]설마 또 던전에…….[/C]"
KEY_VIEW_ITEM_09_100M,"[br]\n[C_IR]아니…… 결정했어.[br][b]『[N_MUGI___] 도적단』[/b]은 오늘부로 해산이다.[br]그 녀석들이 없는 파티 따위…….[/C][br][C_IS]…….[/C][br][C_IR]실격 처리되려면 어떻게 해야 하지?[/C]"
KEY_VIEW_ITEM_09_100N,"[br][C_IS]아뇨, 규약상 C랭크 그대로 남게 됩니다.[br][C_R][b]아무것도 하지 않고 D랭크로 떨어지는 방법[/b][/C]은 없어요.[br][C_IR]…… 그렇군. 내가 죽거나, 앞으로 나아가기 전까지는 아무 일도 일어나지 않는 건가…… 그렇군……. [/C][br][C_IS]…… 오늘 인터뷰에 응해 주셔서[br]감사했습니다. 그리고 사사건건[br]정말 죄송했습니다…….[/C]"
KEY_VIEW_ITEM_09_100O,"[br]\n[C_IR]됐어…… 나야말로 미안했다.[br]분명 나도 그 녀석들과 함께하지 않았더라면,[br]너랑 똑같은 눈으로 도적들을 봤을지도 몰라.[br]…… 그래도 도적 중에도 여러 녀석이 있다는 걸[br]기억해 준다면 난…… 기쁠 거야. [/C][br][C_IS]네! …… 그럼, 좋은 여행 되시길![/C][br][C_IR]그래── 좋은 여행 되라고! [/C]"
KEY_VIEW_ITEM_14_1001,"3명의 모험가가 단상에 오른다.[br][C_IS]오늘 인터뷰에 응해 주셔서 감사합니다.[/C][br][C_IR]이쪽이야말로. 불러 줘서 고마워. [/C][br][C_IS]와─, [C_R]여성들로만 구성된 파티[/C]라니 참 드무네요![br]B랭크 못지않은 대활약, 정말 멋집니다![/C][br][C_IR]…… 휴우, 다행이다.[/C]"
